mahasiswa_id,nim,nama_lengkap,kelas,angkatan
1,13012130001,Doni Wijaya,SI-A,2022.0
2,13012130002,Hendra Pratama,IF-A,2024.0
3,13012130003,,SI-B,2022.0
4,13012130004,Budi Kusuma,IF-B,2022.0
5,13012130005,Qorina Setiawan,IF-A,2024.0
6,13012130006,,SI-B,2022.0
7,13012130007,Olivia Setiawan,SI-A,2022.0
8,13012130008,Faisal Subandono,SI-B,
9,13012130009,Indah Pratama,IF-B,2023.0
10,13012130010,Doni Kusuma,SI-B,2022.0
11,13012130010,Luki Mahendra,SI-A,2024.0
12,13012130012,Indah Wijaksono,IF-A,2024.0
13,13012130013,Olivia Nugroho,IF-A,2023.0
14,13012130014,Citra Nugroho,SI-A,2024.0
15,13012130015,Tina Mahendra,SI-A,2024.0
16,13012130016,Gita Subandono,IF-A,2022.0
17,13012130017,Hendra Wijaksono,SI-A,2022.0
18,13012130018,Hendra Mahendra,IF-A,2023.0
19,13012130019,Indah Mandiri,SI-A,2022.0
20,13012130020,Luki Hermawan,IF-B,2024.0
